id,tag
00884999027046,cancer
00884999027039,cancer
00884999027022,cancer
00884999027008,cancer
00884999027091,cancer
00884999027077,cancer
00884999027053,cancer
00634782075255,cancer
00634782075750,cancer
00634782075613,cancer
00634782085254,cancer
00845821027085,cancer
07290107985109,cancer
07290107985093,cancer
07290107983846,cancer
07290107983839,cancer
07290107983402,cancer
07290107983396,cancer
07290107983389,cancer
07290107983372,cancer
07290107983365,cancer
07290107983358,cancer
07290107983341,cancer
07290107983334,cancer
07290107983327,cancer
07290107983310,cancer
07290107983303,cancer
07290107983297,cancer
07290107982610,cancer
07290107982603,cancer
00630414182247,cancer
00630414598062,cancer
00630414293479,cancer
00630414204772,cancer
00630414196664,cancer
00630414196657,cancer
00630414598055,cancer
00630414598048,cancer
00630414293486,cancer
00630414194707,cancer
00630414182261,cancer
00630414182254,cancer
00630414598420,cancer
M640R51000710041,cancer
M640R51000710031,cancer
M640R51000710001,cancer
07290107983235,cancer
07290107983228,cancer
07290107983211,cancer
07290107983204,cancer
07290107983198,cancer
07290107983181,cancer
07290107983174,cancer
07290107983167,cancer
07290107983150,cancer
07290107983143,cancer
07290107983129,cancer
07290107983099,cancer
07290107983068,cancer
07290107983037,cancer
07290107983006,cancer
07290107982986,cancer
07290107982979,cancer
07290107982962,cancer
07290107982955,cancer
07290107982948,cancer
07290107982931,cancer
07290107982924,cancer
07290107982917,cancer
07290107982900,cancer
07290107982894,cancer
07290107982887,cancer
07290107982870,cancer
07290107982863,cancer
07290107982856,cancer
07290107982849,cancer
07290107982832,cancer
07290107982825,cancer
07290107982818,cancer
07290107982801,cancer
07290107982795,cancer
07290107982788,cancer
07290107982771,cancer
07290107982764,cancer
07290107982757,cancer
07290107982740,cancer
07290107982733,cancer
07290107982726,cancer
07290107982719,cancer
07290107982702,cancer
07290107982696,cancer
07290107982498,cancer
07290107982481,cancer
07290107982474,cancer
07290107982221,cancer
07290107982214,cancer
07290107982207,cancer
07290107982078,cancer
07290107982047,cancer
07290107982030,cancer
07290107982016,cancer
07290107981767,cancer
07290107981750,cancer
07290107981743,cancer
07290107981729,cancer
07290107981712,cancer
07290107981682,cancer
07290107981675,cancer
07290107981668,cancer
07290107981651,cancer
07290107981644,cancer
07290107981637,cancer
07290107981613,cancer
07290107981606,cancer
07290107981606,cancer
07290107981590,cancer
07290107981576,cancer
07290107981569,cancer
07290107981538,cancer
07290107981521,cancer
07290107981514,cancer
07290107981507,cancer
07290107981491,cancer
07290107981484,cancer
07290107980715,cancer
07290107980401,cancer
07290107980357,cancer
07290107980289,cancer
07290107980234,cancer
07290107980197,cancer
07290107980098,cancer
07290107980029,cancer
00841683100058,cancer
00841683141037,cancer
00841683141020,cancer
00841683141013,cancer
00841683141006,cancer
00841683140993,cancer
00380740145408,cancer
00380740135492,cancer
00810119670694,cancer
L502BSB5111,cancer
L502BSB5110,cancer
L502BSB5109,cancer
L502BSB5106,cancer
00850646007556,cancer
00380740003562,cancer
00630414447926,cancer
00630414598192,cancer
00615233003638,cancer
00615233006097,cancer
05055331304131,cancer
05055331335067,cancer
00847627031662,cancer
00847627011077,cancer
00847627006257,cancer
05700571102121,cancer
B502BSB51120,cancer
B502BSB51080,cancer
B502BSB51070,cancer
00380740135423,cancer
00380740003982,cancer
L502BSB3355,cancer
04015630929603,cancer
06940211612996,cancer
00845821027122,cancer
00845821027115,cancer
00860009082618,cancer
00380740145392,cancer
00380740138349,cancer
00380740130510,cancer
00380740048433,cancer
00380740003555,cancer
17350066140326,cancer
04015630940219,cancer
04015630929641,cancer
04015630904310,cancer
04560189211117,cancer
04987270234174,cancer
04987270230664,cancer
00380740131067,cancer
00380740003975,cancer
04015630929634,cancer
04987270234181,cancer
00630414196688,cancer
00630414598079,cancer
00811382011085,cancer
00187207000238,cancer
00813360023035,cancer
00813360023028,cancer
00813360023011,cancer
00860275000309,cancer
50888937001209,cancer
50888937001193,cancer
04560189211124,cancer
04712568360262,cancer
04712568360255,cancer
00634782086152,cancer
00860009082625,cancer
00860009082601,cancer
00810119679567,cancer
00810119677921,cancer
00810119676528,cancer
00810119675125,cancer
00810119672698,cancer
00810119670151,cancer
00847627011718,cancer
00847627003850,cancer
00845821027467,cancer
04260400670036,cancer
04260400670029,cancer
04260400670012,cancer
00862696000227,cancer
B502BSB31100,cancer
00673693356879,cancer
00673693356862,cancer
00673693107266,cancer
00673693107259,cancer
00673693554930,cancer
00845821028792,cancer
00841365120510,cancer
00841365120503,cancer
00841365120312,cancer
00841365120305,cancer
00841365120299,cancer
00841365120282,cancer
00841365120213,cancer
00841365119934,cancer
00841365119750,cancer
00841365119651,cancer
00841365119200,cancer
00841365119071,cancer
00841365119019,cancer
00841365118852,cancer
00841365118562,cancer
00841365118388,cancer
00841365118357,cancer
00841365118159,cancer
00841365118142,cancer
00841365118081,cancer
00841365118050,cancer
00841365118043,cancer
00841365117732,cancer
00841365117725,cancer
00841365117718,cancer
00841365117664,cancer
00841365117633,cancer
00841365117602,cancer
00841365117589,cancer
00841365117572,cancer
00841365117503,cancer
00841365117497,cancer
00841365117213,cancer
00841365117183,cancer
00841365117084,cancer
00841365117039,cancer
00841365116797,cancer
00841365116506,cancer
00841365116483,cancer
00841365116476,cancer
00841365116469,cancer
00841365116353,cancer
00841365116322,cancer
00841365116186,cancer
00841365101670,cancer
00841365101663,cancer
00841365101656,cancer
00841365101649,cancer
00841365101632,cancer
00841365101625,cancer
00841365101618,cancer
00841365101601,cancer
00841365101595,cancer
00841365101588,cancer
00841365101571,cancer
00841365101564,cancer
00841365101557,cancer
00841365101540,cancer
00841365101533,cancer
00841365101526,cancer
00841365101519,cancer
00841365101502,cancer
00841365101496,cancer
00841365101489,cancer
00841365101472,cancer
00841365101465,cancer
00841365101458,cancer
00841365101441,cancer
00841365101434,cancer
00841365101427,cancer
00841365101410,cancer
00841365101403,cancer
00841365101397,cancer
00841365101380,cancer
00841365101373,cancer
00841365101366,cancer
00841365101359,cancer
00841365101342,cancer
00841365101335,cancer
00841365101328,cancer
00841365101311,cancer
00841365101304,cancer
00841365101298,cancer
00841365101281,cancer
00841365101274,cancer
00841365101267,cancer
00841365101250,cancer
00841365101243,cancer
00841365101236,cancer
00841365101229,cancer
00841365101212,cancer
00841365101205,cancer
00841365101199,cancer
00841365101182,cancer
00841365101175,cancer
00841365101168,cancer
00841365101151,cancer
00841365101144,cancer
00841365101137,cancer
00841365101120,cancer
00841365101113,cancer
00841365101106,cancer
00841365101090,cancer
00841365101083,cancer
00841365101076,cancer
00841365101069,cancer
00841365101052,cancer
00841365101045,cancer
00841365101038,cancer
00841365101021,cancer
00841365101014,cancer
00841365101007,cancer
00841365100994,cancer
00841365100987,cancer
00841365100970,cancer
00841365100963,cancer
00841365100956,cancer
00841365100949,cancer
00841365100932,cancer
00841365100925,cancer
00841365100918,cancer
00841365100901,cancer
00841365100895,cancer
00841365100888,cancer
00841365100871,cancer
00841365100864,cancer
00841365100857,cancer
00841365100840,cancer
00841365100833,cancer
00841365100826,cancer
00841365100819,cancer
00841365100802,cancer
00841365100796,cancer
00841365100789,cancer
00841365100772,cancer
00841365100765,cancer
00841365100758,cancer
00841365100741,cancer
00841365100734,cancer
00841365100727,cancer
00841365100710,cancer
00841365100703,cancer
00841365100697,cancer
00841365100680,cancer
00841365100673,cancer
00841365100666,cancer
00841365100659,cancer
00841365100642,cancer
00841365100635,cancer
00841365100628,cancer
00841365100611,cancer
00841365100604,cancer
00841365100598,cancer
00841365100581,cancer
00841365107160,cancer
00841365107122,cancer
00841365107108,cancer
